title_original,ingredients_final,category,title_cleaned,steps_cleaned
Soto Ayam Surabaya,"ayam, bawang merah, bawang putih, ketumbar, lada, kunyit, lengkuas, jahe, kemiri, daun salam, daun jeruk, gula, garam, penyedap rasa, daun bawang, kol, tauge, kentang, telur, sambal",ayam,Soto Ayam Surabaya,"Haluskan bawang merah, bawang putih, ketumbar, lada, kunyit, jahe, dan kemiri. Tumis bumbu Haluskan tersebut hingga harum. Rebus ayam hingga terlihat kaldunya, kemudian masukkan bumbu yang telah ditumis, lengkuas, daun salam, dan daun jeruk. Masak, lalu tambahkan gula, garam, dan penyedap rasa untuk menyesuaikan rasa. Sajikan dengan ayam, kol, tauge, irisan kentang, irisan daun bawang, irisan telur, dan sambal."
Ayam tepung,"ayam, tepung terigu, kaldu bubuk, bawang putih, lada, jahe, kunyit, garam, minyak goreng, telur",ayam,Ayam Tepung,"Bersihkan dan potong ayam. Haluskan bawang putih, jahe, kunyit, dan lada. Masukkan bumbu Haluskan tersebut ke panci bersama ayam dan garam, lalu diamkan 30 menit. Campurkan sebagian tepung terigu dengan kaldu bubuk untuk lapisan kering. Kocok lepas telur. Untuk celupan, campurkan sisa tepung terigu dengan telur kocok lepas. Panaskan minyak goreng. Ambil sepotong ayam, lalu gulingkan ke lapisan kering, kemudian celupkan ke campuran telur dan tepung basah, lalu gulingkan kembali ke lapisan kering. Goreng ayam dengan api sedang sampai kecoklatan, kemudian angkat dan sajikan."
.Ayam Kecap Cabe Ijo,"ayam, cabai hijau, bawang bombay, bawang putih, garam, gula, lada, kaldu, kecap manis, bawang merah, kunyit, jahe, lengkuas, serai, ketumbar, kemiri, daun jeruk",ayam,Ayam Kecap Cabai Hijau,"Haluskan bawang merah, kunyit, jahe, lengkuas, serai, ketumbar, kemiri, dan daun jeruk. Ungkep ayam dengan bumbu Haluskan tersebut selama 20 menit hingga bumbu meresap, lalu sisihkan. Tumis bawang putih hingga harum, lalu masukkan cabai hijau, bawang bombay, dan lada. Tambahkan kaldu, gula, dan kecap manis, lalu tunggu hingga mendidih. Masukkan ayam, biarkan bumbu meresap, lalu tambahkan garam. Angkat."
Ayam Masak Kluwek,"kluwek, ayam, sayap ayam, kemiri, cabai merah, bawang merah, bawang putih, jahe, asam, kunyit, garam, air",ayam,Ayam Masak Kluwek,"Haluskan cabai merah, bawang merah, bawang putih, kemiri, dan jahe. Tambahkan kunyit ke bumbu Haluskan, lalu aduk. Tumis bumbu Haluskan hingga harum, kemudian masukkan ayam. Tambahkan air dan garam. Masukkan kluwek dan asam. Masak hingga ayam matang dan bumbu meresap."
Ayam Goreng Telur,"ayam, bawang putih, daun jeruk, daun salam, serai, garam, ketumbar, kunyit, telur, air",ayam,Ayam Goreng Telur,"Cuci bersih ayam. Haluskan kunyit, garam, dan ketumbar. Masukkan bumbu Haluskan, bawang putih, daun jeruk, daun salam, dan serai ke dalam air. Aduk rata. Kemudian masukkan ayam sampai terendam. Masak hingga bumbu meresap. Angkat dan diamkan hingga sedikit dingin. Kocok lepas telur. Baluri ayam yang sudah dibumbui dengan telur sampai rata. Goreng sampai berwarna kuning keemasan, lalu tiriskan."
Nuttget ayam+sayur,"telur, ayam, wortel, tepung terigu, tapioka, bawang putih, bawang merah, daun bawang, lada, tepung panir, kaldu bubuk",ayam,Nugget Ayam Sayur,"Cincang ayam. Haluskan bawang merah, bawang putih, dan telur. Parut wortel dan iris daun bawang. Campurkan ayam cincang, bahan halus, wortel parut, dan daun bawang. Tambahkan tepung terigu, tapioka, kaldu bubuk, dan lada. Aduk hingga rata. Kukus adonan hingga matang, kemudian dinginkan. Potong adonan, lalu gulingkan ke dalam telur dan baluri dengan tepung panir."
Ayam Rica-rica super pedes,"ayam, cabai merah, cabai rawit, bawang putih, bawang merah, kemiri, lada, ketumbar, gula merah, kecap manis, garam, penyedap rasa, kunyit, jahe, lengkuas, serai, daun salam, daun jeruk, minyak goreng, air",ayam,Ayam Rica-Rica,"Potong ayam, cuci bersih, dan tiriskan. Haluskan cabai merah, cabai rawit, bawang merah, bawang putih, kemiri, dan kunyit. Memarkan jahe, lengkuas, dan serai. Panaskan minyak goreng. Tumis bumbu halus hingga harum. Kemudian, masukkan daun salam, daun jeruk, jahe memar, lengkuas memar, dan serai memar. Masukkan ayam, tambahkan air, lalu masak selama 10 menit. Setelah itu, masukkan lada, ketumbar, gula merah, kecap manis, garam, dan penyedap rasa. Masak kembali selama 20 menit hingga matang."
Ayam Goreng,"ayam, bawang putih, bawang merah, kunyit, ketumbar, daun salam, daun jeruk, serai, garam",ayam,Ayam Goreng,"Didihkan air dalam panci. Setelah mendidih, masukkan bawang putih, bawang merah, kunyit, ketumbar, daun salam, daun jeruk, dan serai. Masukkan ayam dan garam. Masak hingga air menyusut dan bumbu meresap. Angkat ayam, lalu dinginkan. Panaskan minyak goreng dalam wajan. Goreng ayam hingga berwarna kuning kecoklatan."
Ayam Cabe Ijo,"ayam, jeruk, garam, minyak goreng, daun jeruk, serai, bawang merah, bawang putih, cabai hijau, cabai rawit, jahe, kunyit, kemiri",ayam,Ayam Cabai Hijau,"Lumuri ayam dengan air jeruk dan garam, lalu diamkan selama 15 menit. Goreng ayam dengan minyak goreng hingga kuning keemasan, lalu sisihkan. Haluskan cabai hijau, cabai rawit, bawang merah, bawang putih, jahe, kunyit, dan kemiri. Tumis bumbu halus hingga harum. Masukkan daun jeruk dan serai, lalu masak hingga bumbu matang dan beraroma. Masukkan ayam yang sudah digoreng. Aduk rata, tambahkan air jika perlu, dan masak hingga bumbu meresap dan matang."
Ayam ukep bumbu sederhana,"ayam, bawang putih, ketumbar, kunyit, garam, gula, air",ayam,Ayam Ungkep Bumbu Sederhana,"Cuci bersih ayam. Haluskan bawang putih, kunyit, dan ketumbar. Masukkan air ke dalam wajan dan nyalakan kompor. Masukkan bumbu halus, gula, dan garam. Tambahkan ayam, lalu masak dan tutup wajan. Setelah 5 menit, aduk ayam dengan bumbu. Tutup kembali dan masak hingga matang."
Balado ayam,"fillet ayam, bawang bombay, cabai keriting, gula, kapulaga",ayam,Balado Ayam,"Haluskan cabai keriting. Tumis bawang bombay hingga harum. Masukkan ayam, lalu masak hingga berubah warna. Masukkan cabai keriting halus, kapulaga, dan gula. Masak hingga matang. Angkat dan sajikan."
Mie ayam,"ayam fillet, ceker ayam, minyak ayam, kulit ayam, minyak goreng, bawang putih, mie, sawi, daun bawang, daun seledri, serai, daun jeruk, daun salam, lengkuas, bawang goreng, kecap manis, sambal, cabai rawit, bawang merah, jahe, kunyit, kemiri, lada",ayam,Mi Ayam,"Panaskan minyak goreng. Tumis bawang putih cincang dan kulit ayam hingga kulit ayam mengecil, lalu sisihkan minyak ayam. Potong ayam fillet bentuk dadu dan bersihkan, lalu sisihkan. Masak ceker ayam dalam air hingga empuk, lalu sisihkan kaldu ceker. Haluskan bawang merah, jahe, kunyit, kemiri, lada, dan cabai rawit. Tumis bumbu halus hingga harum. Masukkan serai, daun salam, daun jeruk, dan lengkuas memar, lalu masak hingga berubah warna. Tuang bumbu tumis ke dalam kaldu ceker bersamaan dengan ayam fillet. Tambahkan kecap manis, lalu masak hingga bumbu meresap. Dalam mangkuk, campurkan minyak ayam dan mie. Tambahkan sawi, ayam fillet, ceker ayam, irisan daun bawang, dan irisan daun seledri. Beri taburan bawang goreng dan sambal."
Sup kembang tahu+bakso ayam,"kembang tahu, wortel, ceker ayam, bakso, air, garam, daun bawang",ayam,Sup Kembang Tahu Bakso Ayam,"Rendam kembang tahu dalam air hingga lembut. Cuci bersih ceker ayam. Didihkan air dalam panci. Masukkan ceker ayam dan wortel, lalu masak hingga empuk. Masukkan kembang tahu dan bakso ayam. Masak hingga bakso mengembang. Tambahkan garam. Taburkan daun bawang."
Ayam bumbu kuning,"sayap ayam, kelapa, bawang merah, bawang putih, kunyit, garam, lada, pala, air, minyak goreng, serai, salam, lengkuas",ayam,Ayam Bumbu Kuning,"Haluskan bawang merah, bawang putih, kunyit, garam, lada, dan pala. Memarkan serai dan lengkuas. Panaskan minyak goreng. Tumis bumbu halus, daun salam, serai memar, dan lengkuas memar hingga harum. Masukkan sayap ayam yang sudah dicuci bersih ke dalam tumisan bumbu, lalu masak hingga berubah warna. Masukkan kelapa parut dan air, lalu masak hingga air menyusut dan bumbu meresap."
"Semur Ati Ayam, Telur Puyuh, Tahu","ati, telur puyuh, tahu, tomat, serai, daun salam, lengkuas, minyak goreng, kecap manis, gula merah, air, bawang merah, bawang putih, jahe, kunyit, kemiri, cabai keriting",ayam,"Semur Ati Ayam, Telur Puyuh, Tahu","Haluskan bawang merah, bawang putih, jahe, kunyit, kemiri, dan cabai keriting. Memarkan serai dan lengkuas. Panaskan minyak goreng. Tumis bumbu halus, daun salam, serai memar, dan lengkuas memar hingga harum. Masukkan ati ayam, lalu masak hingga berubah warna. Tambahkan air, kecap manis, dan gula merah. Masak ati ayam hingga agak matang. Masukkan tahu, telur puyuh, dan tomat, lalu masak hingga air menyusut."
Soto Ayam Kampung,"ayam kampung, serai, daun jeruk, daun seledri, daun bawang, bawang goreng, jeruk nipis, bawang merah, bawang putih, kunyit, jahe, lengkuas, lada, bihun, tauge",ayam,Soto Ayam Kampung,"Bersihkan dan Potong ayam kampung. Rebus ayam yang telah dibersihkan. Haluskan bawang merah, bawang putih, kunyit, jahe, lengkuas, dan lada. Tumis bahan yang sudah dihaluskan tersebut hingga harum, kemudian tambahkan serai dan daun jeruk. Masukkan bumbu yang telah ditumis ke dalam air rebusan ayam, lalu tambahkan daun seledri dan daun bawang yang sudah diiris. Beri garam dan gula. Sajikan dengan taburan bawang goreng dan irisan jeruk nipis, serta bihun dan tauge."
Mie ayam by dapur mama R&M,"ayam, mie, bok choy, daun bawang, daun salam, air, gula, garam, kecap manis, penyedap rasa, bawang putih, bawang merah, ketumbar, kemiri, kunyit, lada",ayam,Mie Ayam,"Cuci ayam, kemudian rebus hingga setengah matang. Angkat ayam dari air kaldu, lalu Potong kecil ayam dan sisihkan. Masukkan bawang putih, lada, penyedap rasa, dan daun bawang ke dalam kuah kaldu, lalu masak kembali hingga mendidih. Haluskan bawang putih, bawang merah, kemiri, ketumbar, dan kunyit. Kemudian Tumis bahan yang sudah dihaluskan bersama daun salam hingga harum. Tambahkan air, lalu masukkan Potongan ayam. Beri kecap manis, garam, gula, dan penyedap rasa. Masak hingga matang dan bumbu meresap. Rebus air hingga mendidih, kemudian masukkan bok choy sebentar, lalu tiriskan. Siapkan mie, lalu siram dengan air mendidih hingga empuk, kemudian tiriskan. Tata mie dalam mangkuk, lalu beri bok choy, tumisan ayam, dan daun bawang. Siram dengan kuah kaldu."
Ayam Santan Ngamuk,"ayam, bawang putih, bawang merah, cabai merah, gula merah, kecap manis, daun jeruk, kemiri, jeruk limau, lada, santan, gula, garam, air",ayam,Ayam Santan,"Cuci bersih ayam, kemudian rendam dengan perasan jeruk limau, lalu diamkan sebentar. Haluskan cabai merah, bawang merah, bawang putih, dan kemiri. Tumis bahan yang sudah dihaluskan hingga harum. Masukkan daun jeruk, gula merah, garam, lada, gula, dan air, lalu masak hingga mendidih. Setelah mendidih, masukkan ayam. Masak hingga kuah menyusut dengan api kecil, kemudian tambahkan santan dan air. Masak kembali hingga bumbu meresap. Tambahkan kecap manis. Setelah bumbu menyusut dan daging empuk, angkat."
Ayam asam manis,"ayam, tepung, telur, saus, cabai merah, bawang bombay, bawang putih, wortel, kacang polong, tepung maizena",ayam,Ayam Asam Manis,"Potong ayam kecil, celupkan ke dalam telur, lalu balurkan ke dalam tepung, kemudian goreng hingga coklat keemasan. Untuk membuat saus, Tumis bawang putih dan bawang bombay hingga layu, lalu masukkan saus. Aduk rata. Tambahkan air, lalu larutan tepung maizena. Aduk rata. Masukkan wortel, cabai merah, dan kacang polong. Tambahkan gula dan garam. Terakhir, masukkan ayam yang telah digoreng, aduk sebentar hingga merata."
Ayam Kecap Manis Cabai,"ayam, bawang putih, cabai merah, lada, kecap manis, air, garam, minyak, daun bawang",ayam,Ayam Kecap Manis Cabai,"Panaskan minyak. Tumis bawang putih, cabai merah, dan lada hingga layu dan bawang putih agak kecokelatan. Masukkan ayam, lalu aduk hingga berubah warna. Beri kecap manis, kemudian tuang air. Tambahkan garam, aduk rata, lalu tutup wajan hingga air menyusut dan bumbu meresap. Sajikan dengan taburan daun bawang."
